OrderID,OrderDate,Region,Product,Category,Quantity,UnitPrice,TotalSale,Status,Notes
1001,2023-01-15,North,Alpha-Gadget,Electronics,5,49.99,249.95,Delivered,
1002,2023-01-17,West,Beta-Widget,Hardware,12,19.50,234.00,Delivered,
1003,2023-01-18,North,Gamma-Gizmo,Accessories,8,9.95,79.60,Shipped,Rush order
1004,2023-01-20,South,Alpha-Gadget,Electronics,3,49.99,149.97,Shipped,
1005,2023-01-21,East,Delta-Device,Electronics,2,199.00,398.00,Pending,
1006,2023-01-22,West,Epsilon-Tool,Hardware,15,25.00,375.00,Delivered,
1007,2023-01-25,North,Alpha-Gadget,Electronics,4,49.99,199.96,Shipped,
1008,2023-02-01,East,Beta-Widget,Hardware,7,19.50,136.50,Delivered,
1009,2023-02-02,South,Gamma-Gizmo,Accessories,10,9.95,99.50,Cancelled,Customer cancelled
1010,2023-02-03,West,Delta-Device,Electronics,1,199.00,199.00,Shipped,
1011,2023-02-05,North,Beta-Widget,Hardware,9,19.50,175.50,Delivered,
1012,2023-02-06,,Alpha-Gadget,Electronics,6,49.99,299.94,Pending,Address verification needed
1013,2023-02-08,East,Epsilon-Tool,Hardware,11,25.00,275.00,Delivered,
1014,2023-02-10,South,Gamma-Gizmo,Accessories,20,9.95,199.00,Shipped,
1015,2023-02-11,West,Alpha-Gadget,Electronics,2,49.99,99.98,Delivered,
1016,2023-02-12,North,Delta-Device,Electronics,1,199.00,199.00,Shipped,
1017,2023-02-15,East,Beta-Widget,Hardware,13,19.50,253.50,Delivered,
1018,2023-02-18,South,Epsilon-Tool,Hardware,4,25.00,100.00,Cancelled,Payment failed
1019,2023-02-20,West,Gamma-Gizmo,Accessories,7,9.95,69.65,Shipped,
1020,2023-02-21,North,Alpha-Gadget,Electronics,5,49.99,249.95,Delivered,
1021,2023-03-01,East,Beta-Widget,Hardware,3,19.50,58.50,Shipped,
1022,2023-03-02,South,Delta-Device,Electronics,2,199.00,398.00,Delivered,
1023,2023-03-04,West,Epsilon-Tool,Hardware,8,25.00,200.00,Shipped,
1024,2023-03-05,North,Gamma-Gizmo,Accessories,14,9.95,139.30,Delivered,
1025,2023-03-07,East,Alpha-Gadget,Electronics,3,49.99,149.97,Pending,
1026,2023-03-08,South,Beta-Widget,Hardware,10,19.50,195.00,Shipped,
1027,2023-03-10,West,Gamma-Gizmo,Accessories,12,9.95,119.40,Delivered,
1028,2023-03-11,North,Delta-Device,Electronics,1,199.00,199.00,Delivered,
1029,2023-03-12,East,Epsilon-Tool,Hardware,6,25.00,150.00,Shipped,Customer followup needed
1030,2023-03-15,South,Alpha-Gadget,Electronics,5,49.99,249.95,Delivered,
1031,2023-03-18,West,Beta-Widget,Hardware,8,19.50,156.00,Shipped,
1032,2023-03-20,North,Gamma-Gizmo,Accessories,11,9.95,109.45,Delivered,
1033,2023-03-21,East,Alpha-Gadget,Electronics,2,49.99,99.98,Shipped,
1034,2023-03-22,South,Delta-Device,Electronics,1,199.00,199.00,Delivered,
1035,2023-03-25,West,Epsilon-Tool,Hardware,9,25.00,225.00,Cancelled,Out of stock
1036,2023-04-01,North,Beta-Widget,Hardware,15,19.50,292.50,Shipped,
1037,2023-04-03,East,Gamma-Gizmo,Accessories,5,9.95,49.75,Delivered,
1038,2023-04-04,South,Alpha-Gadget,Electronics,4,49.99,199.96,Shipped,
1039,2023-04-05,West,Delta-Device,Electronics,2,199.00,398.00,Delivered,
1040,2023-04-07,North,Epsilon-Tool,Hardware,7,25.00,175.00,Pending,
1041,2023-04-08,East,Alpha-Gadget,Electronics,6,49.99,299.94,Delivered,
1042,2023-04-10,South,Beta-Widget,Hardware,9,19.50,175.50,Shipped,
1043,2023-04-12,West,Gamma-Gizmo,Accessories,13,9.95,129.35,Delivered,
1044,2023-04-14,North,Delta-Device,Electronics,1,199.00,199.00,Shipped,
1045,2023-04-15,East,Epsilon-Tool,Hardware,10,25.00,250.00,Delivered,
1046,2023-04-18,South,Alpha-Gadget,Electronics,3,49.99,149.97,Shipped,Rush order
1047,2023-04-20,West,Beta-Widget,Hardware,12,19.50,234.00,Delivered,
1048,2023-04-21,North,Gamma-Gizmo,Accessories,8,9.95,79.60,Pending,
1049,2023-04-22,East,Delta-Device,Electronics,2,199.00,398.00,Delivered,
1050,2023-04-25,South,Epsilon-Tool,Hardware,5,25.00,125.00,Shipped,
1051,2023-05-01,West,Alpha-Gadget,Electronics,4,49.99,199.96,Delivered,
1052,2023-05-02,North,Beta-Widget,Hardware,11,19.50,214.50,Shipped,
1053,2023-05-03,East,Gamma-Gizmo,Accessories,16,9.95,159.20,Delivered,
1054,2023-05-05,South,Delta-Device,Electronics,1,199.00,199.00,Cancelled,Customer request
1055,2023-05-06,West,Epsilon-Tool,Hardware,7,25.00,175.00,Shipped,
1056,2023-05-08,North,Alpha-Gadget,Electronics,5,49.99,249.95,Delivered,
1057,2023-05-10,East,Beta-Widget,Hardware,14,19.50,273.00,Shipped,
1058,2023-05-11,South,Gamma-Gizmo,Accessories,9,9.95,89.55,Delivered,
1059,2023-05-12,West,Alpha-Gadget,Electronics,3,49.99,149.97,Pending,
1060,2023-05-15,North,Epsilon-Tool,Hardware,6,25.00,150.00,Shipped,
